name,description
Dark Moon Greatsword,"A Moon Greatsword, bestowed by a Carian queen upon her spouse to honor long-standing tradition. One of the legendary armaments. Ranni's sigil is a full moon, cold and leaden, and this sword is but a beam of its light."
Sacred Relic Sword,"Sword wrought from the remains of a god who should have lived a life eternal.  Thoughts on what the weapon portends are many and varied. Some consider it the mark of a great sin, or a sign of great devastation. Some think of it as the end of an age, while others; the beginning."
Helphen's Steeple,"Greatsword patterned after the black steeple of the Helphen, the lampwood which guides the dead of the spirit world. The lamplight is similar to grace in appearance, only it is said that it can only be seen by those who met their death in battle."
Blasphemous Blade,"Sacred sword of Rykard, Lord of Blasphemy. Remains of the countless heroes he has devoured writhe upon the surface of this blade. Now they share the same blood, bound together as family. Some HP is restored upon defeating an enemy."
Marais Executioner's Sword,"Storied sword of House Marais, the family of executioners who presided over the Shaded Castle. One of the legendary armaments. Elemer of the Briar, the Bell Bearing Hunter, snatched the sword from the site of his looming execution, and furnished it with battle skills from his home of Eochaid.."
Sword Of Milos,"Sinister greatsword fashioned from a giant's backbone. The spines along each side of the blade have been tapered to a fine point and mete out wounds like a lopside saw-blade. Milos was indersized for a giant, and was viewed as sullied and terribly gortesque."
Golden Order Greatsword,"Greatsword made of light, modeled after the Elden Ring itself. Forged by King Consort Radagon to proudly symbolize the tenets of the Golden Order. One of the legendary armaments. Telltale signs betray that this was once the greatsword bequeathed to him by his first wife, Rennala."
Claymore,"A large sword with a long, straight blade. This heavy sword is usually wielded with two hands, but for those with enough strength, one is sufficient. In addition to the heavy sweeping attacks, it can also make a heavy piercing thrust making this a versatile weapon. "
Gargoyle's Greatsword,"Bronze greatsword wielded by Valiant Gargoyle.  Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions."
Death's Poker,Barbed rod carried by Deathbirds. The birds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns.
Gargoyle's Blackblade,"Broze greatsword wielded by Valiant Gargoyle mended with blackened corpse wax. Deals holy damage.  Such is the mark of those who serve Maliketh, the Black Blade.   "
Pest's Glaive,"Glaive made from a hard, sharpened shell. Wielded by the pests who emerged from the Swamp of Aeonia. Slightly increases non-physical damage negation. Though men might recognize the keen intellect of the pests evidenced by this spear's uncanny design, it will never be understood by them."
Halberd,"A long-handed polearm that combines the functions of both axe and spear.  Can be used to press a single enemy with continuous thrusting attacks or swept at groups, taking advantage of its great reach and cleaving blade. A versatile weapon for any situation. "
Lucerne,"This polearm features a hard, sharpened beak-like spike attached to its head, designed to pierce armor. Though designed mainly as a thrusting weapon, its long handle can be utilized to get around an enemy's guard with a sideward sweeping attack."
Banished Knight's Halberd,"A finely-crafted halberd intricately engraved with an ancient motif. Given to knights who, whether by misfortune or misdeed, were forced to abandon their homes. Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company."
Commander's Standard,"A beaten red battle standard is furled around this time-worn halberd. Even after his lord was fled, Commander O'Neil continued to brandish this flag in the devastation of the rot-eaten field of battle, the sole veteran who remembers this battle with pride."
Ripple Crescent Halberd,"Weapon wielded by young Albinaurics. The blade is said to resemble a partial image of a ripple, and its attack power scales with one's arcane attribute."
Nightrider Glaive,"A jet-black glaive with a blade as weighty as a bludgeon. Weapon of the Night's Vavalry who ride funeral seeds.  This glaive excels at weighty slash attacks that crash into foes, making it a powerful weapon even on horse back."
Vulgar Militia Saw,"A weapon comprised of a saw blade attached to a long grip. Brandished by the vulgar militia, its serrated edge is very effective at inflicting blood loss. The saw is said to also be used to cut up bodies to feed the militia, but there are no firsthand witnesses to confirm the dire rumor."
Golden Halberd,"Weighty halberd forged of gold. Wielded by the Order of Tree Sentinels, heavily equipped knights.  Deals holy damage. A masterfully crafted weapon that lives up to its heft, but is difficult for one mere human strength to wield."
Glaive,Weapon comprised of a sharp blade affixed to a long grip. It is in fact a sickle repurposed to be a tool of war. This far-reaching weapon excels at slashing attacks.
Loretta's War Sickle,"Intricately crafted silver war sickle wielded by Loretta, Knight of the Haligtree. Originally given for service as a personal guard to Carian royalty, the weapon's blue glintstone has been replaced with unalloyed gold."
Guardian's Swordspear,"Weapon comprising a long handle and broad blade sharpened from the hard wood of old trees.  Wielded by guardians of the Minor Erdtrees, known as experts in the arts of combat. The power of this weapon scales greatly with dexterity."
Dragon Halberd,"Halberd shaped like a dragon, enwreathed with both ice and lightning. Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin."
Vulgar Militia Shotel,"A hooked blade attached to a long handle. Wielded by the vulgar militia, its attacks can slip through an enemy's guard. The vulgar militia are the undecorated stewards of rancid, scorched battlefields that none dare approach, and forbidden domains better forgotten by the rest of the world"
Gargoyle's Halberd,"Bronze halberd wielded by Valiant Gargoyle Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions."
Mace,"An iron bludgeon with sharp protrusions. Strinking attacks have few drawbacks, potent as they are at breaking through guards and stances, Most suited to head on slugging matches. "
Gargoyle's Black Halberd,"Bronze halberd wielded by Valiant Gargoyle, mended with blackened corpse wax. Deals holy damage. Such is the mark of those who serve Maliketh, the Black Blade."
Curved Club,"Hard, curved club, shaped like a crescent moon. Wielded instead of a curved sword by Albinaurics lacking dexterity. The only point of similarity between the two is the shape."
Warpick,"Warhammer with a hard protruding beak. A pickaxe designed for combat, in essence. A simple but highly effective weapon, the weighty piercing attack casually rips through metal armor."
Club,"A thick, solid lump of wood. Wielding this striking weapon requires no skill. A simple, primitive weapon that requires only brute strength and persistence to hammer your foe into the ground."
Spiked Club,"A club with beast fangs wrapped around the striking end. The uneven spread of fangs causes blood loss. Given only to the toughest of demi-humans, this weapon is a badge of honor. Or so the demi-humans believe."
Hammer,Hammer comprised of a large stone affixed to a metal handle. Originally a blacksmith's tool.  The art of smithing is said to have originated among the giants. This weapon's striking attacks boast ample weight behind them.
Varré's Bouquet,"A steel mace resembling a charming bouquet of roses. Each petal has a sharpened edge, leaving the roses perpetually colored with blood.  This weapon reflects White Mask Varré's manner of speech rather well, enticing in its splendor, but full of deadly consequence."
Morning Star,"Warhammer comprised of a globe attached to a handle. Though a bludgeon dealing strike damage, the appellative star covered. in spikes which cause blood loss. Ironic given its grace name, this weapon often reeks of blood."
Monk's Flamemace,"Warhammer made to resemble flickering flames. Signature weapon of the Fire Monks, who hail from the Mountaintops of the Giants.  The unique strong attack rouses fiery combative spirit."
Envoy's Horn,"Golden horn of the Oracle Envoys. Profoundly weighty, its blows are sure to be felt. Originally an instrument, but one that cannot be sounded by a mere human. Or perhaps it is too early to sound the call."
Scepter Of The All-knowing,"Scepter in the form of a hand grasping a pearl. Signature weapon of Sir Gideon Ofnir, the All-Knowing. The pearl stands for the world, the heavens, and an eye, representing the many forms of knowledge, never fully attainable. Even knowing that, the All- Knowing's hand grasps for it."
Nox Flowing Hammer,"Mace shaped like a suspended metal droplet wielded by monks of the Eternal City. Forged from liquid metal from a Silver Tear, it is thoroughly tempered until hardened."
Ringed Finger,"Bludgeon made of an enormous finger sheathed in several heavy rings. Thought to have been cut from an ancestor of the Fingercreeper. Some life yet remains in this legacy of an ancient act of blasphemy, as evidenced by the barely perceptible warmth it still exudes."
Stone Club,"Signature weapon of battlemages, hewn from hard glintstone.  This club is much heavier than its size suggests, but has no magic power. So that they not lose sight of the true essence of combat, battlemages prefer to feel the impact of their blows, fighting their opponents hand to hand."
Marika's Hammer,"Stone hammer made in the lands of the Numen, outside the Lands Between. The tool with which Queen Marika shattered the Elden Ring and Radagon attempted to repair it. The hammer partially broke upon shattering the Ring, becoming splintered with rune fragments."
Bloody Helice,"Ominous piercing sword with a winding blade. Carried by the noble servants of the Lord of Blood. Designed to bore into flesh, causing severe blood loss at the wound. The extracted blood trickles gracefully down the length of the blade. "
Great Épée,"Large rapier featuring a thin, sharp blade.  Commonly used in life or death duels. Like its smaller counterparts, its made for thrusting attacks, and can be used while guarding with a shield. "
Godskin Stitcher,"Elegant piercing sword with a celadon colored blade wielded by Godskin Nobles. The nobles possess skill with the sword unmatched by any lowborn. Despite its size, successive attacks from this weapon are swifter than the eye can follow."
Dragon King's Cragblade,"Piercing Gravel Stone sword containing primeval lightning. A portion of the Dragonlord's power, gained from a remembrance. This weapon commands great power over the paltry, mortal dragons of today."
Uchigatana,"A katana with a long single-edged curved blade.  A unique weapon wielded by the samurai from the Land of Reeds. The blade, with its undulating design, boasts extraordinary sharpness, and ts slash attacks cause blood loss."
Nagakiba,"Katana with a ferociously long blade. Signature weapon of Yura, hunter of Bloody Fingers. Reminiscent of a reinforced spear, its imposing lenth can be put to good use with powerful thrusting attacks."
Hand Of Malenia,Blade built into Malenia's prosthetic arm. Through consecration it is resistant to rot. Malenia's war prosthesis symbolized her victories. Some claim to have seen wings when the weapon was raised aloft; wings of fierce determination that have never known defeat.
Meteoric Ore Blade,"Katana forged from meteoric ore to dispatch lifeforms born of falling stars. Deals magic damage. The blade is weighty, known to deliver slashes of such ferocity that the impact is said to resemble the crash of a falling meteor. "
Rivers Of Blood,"Weapon of Okina, swordsman from the Land of Reeds. A cursed weapon that has felled countless men.  When Mohg, the Lord of Blood, first felt Okina's sword, and madness, upon his flesh, he had a proposal, to offer Okina the life of a demon, whose thirst would never go unsated."
Moonveil,"Katana forged of glintstone. Masterpiece of a Sellian wordsmith.  Light enwreathes the blade when sheathed, explaining its Moonveil moniker."
Dragonscale Blade,"A weapon made by sharpening a Gravel Stone scale, thought to be the source of ancient dragon immortality, into an unclouded blade. Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin. "
Serpentbone Blade,Sinister katana modeled after a serpent bone. The denely packed row of spines that jut away from the cutting edge are coated in a lethal poison
Shortbow,"Small bow made to fire arrows over great distances. Other than its ability to fire off arrows in rapid succession, it is also well-suited for use on horseback. To use a bow, arrows must also be equipped."
Misbegotten Shortbow,Shortbow wielded by Winged Misbegotten. Fine fur clings to it. Designed to inflict additional damage by sacrificing range.
Red Branch Shortbow,Shortbow of polished red wood. Fashioned by a master craftsman and wielded by pages.  A bow which requires dexterity rather than strength to master. 
Harp Bow,"Bow fashioned from a minstrel's harp. Sonorous tones still resound when firing arrows. Troubadours sing tales of champions, both in the honorable service of the Erdtree, and the one who spurns honor for blasphemy."
Composite Bow,"Bow composited from a mix of Materials.  Demands high attributes, and is tricky to wield, but is a fearsome tool when mastered."
Scythe,"Large scythe featuring a long, slender blade. Designed to reap, this weapon is capable of rapidly inflicting blood loss while also slipping through an enemy's guard.  In the hands of a highly dexterous wielder it is capable of striking fear into the heart of any foe."
Grave Scythe,Greatscythe comprised of a large blade affixed to a crooked stick. Weapon wielded by the aged grave keepers who tend the forgotten graveyards throughout the Lands Between. This weapon is said to have served as a charm against evil spirits in times of old.
Halo Scythe,"War scythe of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. This was the weapon of commanders in Malenia's army, and the half-halo blade deals holy damage."
Winged Scythe,"Sacred scythe resembling a pair of white wings. Deals holy damage. According to pagan belief, white-winged maidens are said to be Death's gentle envoys. "
Finger Seal,"A sacred seal given by maidens of the Finger Readers which serves as a catalyst for casting sacred incantations. Incantations must be memorized first at a site of lost grace, and a sacred seal must be equipped to cast them."
Godslayer's Seal,"Sacred seal of the Godskin Apostles, inlaid with obsidian. Said to represent the manipulation of black flame, this catalyst enhances godslayer incantations."
Giant's Seal,"Sacred seal depicting the one eyed god of the Fire Giants, adorned with braids of red hair. Sacred seal wielded by Fire Monks and Prelates, this catalyst enhances Giants' Flame incantations. "
Clawmark Seal,"A sacred seal given by Gurranq, the Beast Clergyman. A rare trinket which allows incantations to be scaled with strength.  The claw mark represents Gurranq's wrath. Enhances bestial incantations learned from Gurranq."
Golden Order Seal,A formless sacred seal depicting the ceremonial observation of Order. Enhances Golden Fundamentalist incantations.  Fundamentalism is scholarship in all but name. Scales incantation using both intelligence and faith.
Erdtree Seal,"A formless sacred seal decorated with an Erdtree crest, once the focus of religion in the Lands Between. Even though the Elden Ring is shattered, and the Erdtree has dulled from its former radiance, earnest faith continues to hold the answers. "
Erdtree Seal,"A formless sacred seal decorated with an Erdtree crest, once the focus of religion in the Lands Between. Even though the Elden Ring is shattered, and the Erdtree has dulled from its former radiance, earnest faith continues to hold the answers. "
Dragon Communion Seal,"Formless drakeblood seal with a dragon communion crest. Enhances Dragon Communion incantations. The sacrificial devouring of the heart gives power. Indeed, Dragon Communion is too primal in nature for the term ""incantation"" to be appropriate. This seal scales incantations with one's arcane attribute."
Frenzied Flame Seal,"Formless sacred seal bestowed by the maiden of the Three Fingers. Enhances incantations of the frenzied flame. This seal is the mark of the Lord of Frenzied Flame. Scales incantations using strength, dexterity, intelligence, and faith all together."
Spear,"Weapon comprised of a blade attached to a long haft. A far-reaching piercing weapon, it can be wielded from behind the safety of a raised shield. Very effective against mounted foes."
Short Spear,"A exceedingly plain spear of modest weight. Simple to wield compared to many of its peers, strong attack unleashes a series of successive piercing thrusts."
Crystal Spear,"Spear fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren."
Clayman's Harpoon,Harpoon with a tip made from a sharpened meteorite shard. Wielded by the claymen who infest dynastic remains. The blade emits a faint light and deals magic damage.                   
Partisan,"Spear with a wide tip. In addition to its thrusting attacks, this highly versatile weapon can be swing to sweep through foes."
Celebrant's Rib-rake,"Rake decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks."
Cleanrot Spear,"Spear of the Cleanrot Knights who fought alongside Melania, Blade of Miquella. The winged golden blade deals holy damage. The diminutive shieldd is blessed with an incnantation that wards off rot."
Pike,"A longspear featuring an especially length handle. Specialized for use from long distances, it boasts the longest reach of any melee weapon. Incrdibly useful even against foes on horseback, but hard to wield in cramped spaces. "
Torchpole,"Torch fastened to a long pole. Lights up dark areas, but cannot be raised overhead. Used by soldiers on watch, its attacks set foes aflame."
Bolt Of Gransax,"Spear whittled from the weapon wielded by Gransax. One of the legendary armaments.  A great ancient dragon, Gransax once rained calamity upon the Royal Capital - the only time in historical record that Leyendell's walls have fallen. This marked the dawn of the war against dragons."
Cross-naginata,"Weapon consisting of a three-pronged blade affixed to a long pole. The long central blade closely resembles a katana. A weapon of the Land of Reeds, known for its ability to be wielded as a spear while still being capable of performing slashing attacks."
Death Ritual Spear,"Ritual spear used by priests of old who were permitted to come among the Deathbirds. The priests became guardians of the birds through the rite of Death, which also serves as an oath sworn to their distant resurrection."
Inquisitor's Girandole,"Instrument of torture used on nobles behind the curtain at the  Volcano Manor of Mt. Gelmir. Its numerous spikes pierce the flesh, then singe the wounds with flame. The smell of burnt blood induces despair in the victim. A candlestick conveived by a thorough mind."
Spiked Spear,Weapon comprised of a spiked cylinder attached to a long pole. Capaable of dealing strike damage when swung. The spikes induce blood loss. Weapon of the Marionette Soliders employed by sorcerers.
Rotten Crystal Spear,"Spear fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. Though festering with scarlet rot, its magic remains potent."
Iron Spear,Commonly used iron spear with no notable traits. The blade is severely rusted.
Winged Spear,A spear with winged ornamentation at the base of its head. A thrusting weapon with long reach that can be used to attack from behind a shield. It is also effective against mounted foes.
Longsword,"A straight sword with a double-edged blade. In addition to its easily-inflicted standard damage, this well- balanced weapon can also perform powerful piercing attacks."
Short Sword,"A short straight sword with a short blade.  In addition to its reliable standard damage, this weapon also boasts powerful piercing attacks.  Lightweight amongst straight swords, this weapon is easy to wield, requiring only humble attributes. "
Broadsword,"A straight sword with a wide blade, suited to slashing attacks. Horizontal swings boast wide attack range, making it easier to connect with foes. "
Lordsworn's Straight Sword,"Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army. Though blackened and damaged by years of use, it appears to have otherwise been kept in a servicable condition, despite the soldiers having long since lost their minds."
Weathered Straight Sword,"Straight sword with a rather short but wide blade. Simple to wield, it was known as the sword of the people. Though the Erdtree styling is still visible, time has not been kind to this sword, now merely a shadow of its former self."
Golden Epitaph,"A sword made to commemorate the death of Godwyn the Golden, first of the demigods to die. Infused with the humble prayer of a young boy; ""O brother, lord brother, please die a true death."""
Ornamental Straight Sword,"Slender straight sword patterned after an antique ornament. Superior swordsmen prefer to wield one in each hand. After falling from grace, the dregs of the golden lineage sought power and purpose in the past."
Coded Sword,"Hidden sword once granted to the Tarnished of the Roundtable by the Two Fingers. A formless cipher comprises its blade, which deals holy damage no shield can repel. Champions would gather at the Roundtable Hold in days long past, when the Two Fingers were masters of oration, their flesh yet full of vigor."
Sword Of Night And Flame,"Storied sword and treasure of Caria Manor. One of the legendary armaments. Astrologers, who preceded the sroveres, established themselves in mountaintops that nearly touched the sky, and considered the Fire Giants their neighbors."
Carian Knight's Sword,"Straight sword embedded with a blue glintstone.  Weapon of knights sworn to Carian royalty. These knights' swords could serve as catalysts, letting them wield sorcerous battle skills. Despite numbering fewer than twenty, this power made them a match for even the champions of gold in battle."
Crystal Sword,"Sword fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren. "
Sword Of St Trina,"Silver sword carried by clerics of St. Trina. Inflicts sleep ailment upon foes. St. Trina is an enigmatic figure. Some say she is a comely young girl, others are sure he is a boy. The only certainty is that their appearance was as sudden as their disappearance."
Miquellan Knight's Sword,"Sword forged by servants of Miquella of the Haligtree, with a design modeled after those carried by Carian knights. Instead of glintstone however, amber from the Haligtree is embedded in the blade. A sumptuous piece, yet it has never been offered to any knight — an ill-starred sword with no master. Skill: Sacred Blade"
Cane Sword,"Beloved sword of an aged knight whose last quest was long behind him, repurposed into a walking stick. The tip is rather worn.  Though bent of back and without the brawn required even to raise the sword aloft, still he wished to meet his end with weapon in hand."
Regalia Of Eochaid,"Treasured sword of Eochaid, a lesser, long-vanished domain. The copper coloration is not to be confused for rust, but is a conduit for its wielder to move it by their will alone.  Swords of Eochaid dance through the skies"
Noble's Slender Sword,"Narrow blade carried by wandering nobles. Made to be easy to wield. Daubed with gold from tip to tail, it should fetch a good sum."
Warhawk's Talon,"Talon-swords are affixed to the legs of the Stormveil's warhawks, but this one has been repurposed for human use. The blade is thin and lightweight so as not to obstruct the hawk's mobility."
Rotten Crystal Sword,"Sword fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence."
Lazuli Glintstone Sword,"A sword with a glintstone in its handguards. Wielded by scholars of the Lazuli Conspectus who seek to master Carian sorcery. Deals magic damage. Apparently once used as a staff of sorcery, this sword is made of wood."
Estoc,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks.  For its large size, it can be wirleded rather nimbly, leaving little opportunity for the enemy to counter."
Rapier,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield.  As one of the smaller piercing swords, quick successive thrust area easy to perform, but without a cutting edge, it cannot be used for slashing attacks. "
Cleanrot Knight's Sword,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long- handled armament."
Rogier's Rapier,"Piercing sword of superior quality, featuring intricate ornamentation. Signature weapon of the sorcerer Rogier. High dexterity is required to wield the blade to its full potential, but mastery is a sight to behold, characterized by a flowing style which excels in successive attacks."
Antspur Rapier,"Spur of a giant ant which has been fashioned into a rapier. The blade drips with scarlet rot.  Scarlet rot is an old legend, of which Maleigh Marais of the Shaded Castle was a private believer. And indeed, he eventually found his own personal goddess."
Frozen Needle,"A razor-thin piercing blade of ice. Forged by Ijii, the carian Royal Blackmith. Can inflict frost upon enemies, and launch its blade with a strong attack.  The blade immediately regenerates. "
Torch,"This torch's tip is wrapped in oil-soaked rags and set on fire. The flame can illuminate dark locales, or used to attack enemies. Can be raised up when equipped in the left hand, illuminating more of the surrounding area."
Noble's Estoc,"Estoc carried by wandering nobles. Made to be easy to wield.  Daubed with gold from tip to tail, it should fetch a good sum. "
Steel-wire Torch,"Torch wound with metal wire. The flame can illuminate dark locales, or be used to attack enemies. Heavier than a normal torch, but the heated filament boosts fire damage dealt."
St. Trina's Torch,"Candlestand torch that burns with a light-purple flame. The carvings depict St. Trina, but in adult form, somewhat unnervingly.  The light-purple flame induces sleep."
Ghostflame Torch,"Metal torch that burns with cold ghostflame. Tool of the Fallen Hawks who prowl the underground rivers. When the band's last embers were used up in their long search, they began to burn the bones of their fellows, acquiring the cold ghostflame, but sealing their fate as dwellers of the underground for all eternity."
Beast-repellent Torch,A torch which burns oil infused with a special incense. The aroma pacifies wild beasts. Torches such as these were used to keep unwelcome beasts away from treasure troves hidden in caves.
Sentry's Torch,Torch Given to protectors of the Erdtree. Its flames are bestowed with a special incantation which allows the bearer to see assassins cloaked in veils. Furnished on behalf of the Erdtree and the Grace-Given Lord such that a Night of Black Knives will never come again. 
Godskin Peeler,Unique twinblade wielded by Godskin Apostles characterized by its disturbing design. One end features a sickle for slicing attacks while the other boasts a winding spike for boring into flesh. Much skill is required to wield this weapon due to its asymmetric nature.
Twinned Knight Swords,"An attractive twinblade of fine make that prizes the chivalric way.  Can be wielded with a single hand, but its true strength is unlocked with dual-handed spinning attacks."
Eleonora's Poleblade,"Twinned naginata forged in the Land of Reeds. Chosen weapon of Eleonora, Violet Bloody Finger. Her mastery of the sword was such that her onslaught was likened to a whirlwind, but now her legacy is stained by accursed blood."
Gargoyle's Twinblade,"Bronze twinblade wielded by Valiant Gargoyle.  just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions. "
Gargoyle's Black Blades,"Bronze twinblade wielded by Valiant Gargoyle, mended with blackened corpse wax. Deals holy damage. Such is the mark of those who serve Maliketh, the Black Blade."
Large Club,"A thick, solid lump of wood. Wielding this striking weapon requires no skill. A simple, primitive weapon that requires only brute strength to swing about."
Greathorn Hammer,Huge thick horn carved with tree ring-like markings adapted into a bludgeoning weapon. Wielded by ancestral follower warriors. The ancient horn is imbued with the power of ancestral spirits. A small amount of HP is restored upon defeating an enemy. 
Battle Hammer,Large iron warhammer designed for gladiatorial combat. Used by duelists who were exiled from the colosseum. Weighty enough to crush armor and its wearer alike. 
Great Mace,"Huge bludgeon with sharp protrusions. An enlarged version of its smaller cousin. Maintains all the advantages of smaller bludgeons, boasting few deficiencies while being very capable at breaking enemy guards and stances. A shrewd choice for simple slugging matches."
Curved Great Club,"Large curved club of hard wood, shaped like a crescent moon. Wielded by Albinaurics lacking the dexterity demanded by a curved sword, and who prefer the added weight and destructive force."
Celebrant's Skull,"Large bludgeon ecorated with flowers and many-colored fabrics.  Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village.   The striking end is a skull too large in size to be human. Grants trace amounts of runes on landing attacks."
Beastclaw Greathammer,"Greathammer with a striking end modelled to resemble five beastly claws. The black nails protruding from golden fur are said to represent Serosh, Lord of Beasts, who went to become King Godfrey's Regent."
Twinblade,"A sword with blades on both sides of the hilt. This weapon is difficult to wield, and requires high dexterity. Can be wielded with a single hand, but its true strength is enabled  with dual-handed spinning attacks."
Envoy's Long Horn,"Long golden horn of the Oracle Envoys. Profoundly weighty, its blows are sure to be felt. Originally an instrument, but one that cannot be sounded by a mere human. Or perhaps it is too early to sound the call."
Pickaxe,"Large pickaxe designed to crack thick bedrock. Tool of sturdy miners. Not originally designed as a weapon, but very adept at piercing armor. ""Little wretches, do you think your armor harder than stone?"""
Cranial Vessel Candlestand,"Candlestand used in worship of Birac, the most hallowed Monk Prelate of the Giants' Flame. Concerned over the lazy arrogance with which the monks treated the Flame, Birac severed his own head as a lesson to the others, intending it be used as a  candlestand. His faith yet smolders from within the cranial vessel."
Great Stars,"Huge bludgeon with three stars at the striking end. Though primarily a striking weapon, the stars' spikes cause blood loss. A blood-stained star is an ill omen, a fact not lost upon those against whom this weapon is brought to bear. Landing attacks slightly restores HP."
Devourer's Scepter,Scepter in the shape of a serpent devouring the world. This weapon will one day become the very symbol of the Lord of  Blasphemy. One of the legendary armaments. A vision of the future briefly seen by Rykard in his final moments before being devoured by the great serpent.
Brick Hammer,Large iron warhammer designed for gladiatorial combat. Used by duelists who were exiled from the colosseum. Weighty enough to crush armor and its wearer alike. 
Whip,"A leather whip. Not originally used for combat, but as an instrument of pain. Through its supple attacks cannot be thwarted by parrying or even guarding, it is incapable of dealing critical hits."
Rotten Battle Hammer,"Large iron warhammer designed for gladiatorial combat, now festering with scarlet rot. Weighty enough to crush armor and its wearer alike. Skill: Braggart's Roar Declare your presence with a boastful roar. Raises attack power, defense, and stamina recovery speed. "
Thorned Whip,"Hefty whip coverd in crimson thorns. Weapon of the Prelates who lead the Fire Monks. A device of fearsome religious encouragement, it is fashioned in the image of the briars of fin.  Very effective at inflicting blood loss."
Magma Whip Candlestick,"This ritual implement is a three pronged candlestick with solid flames formed of the magma of Mt. Gelmir. When wielded as a weapon, the flames become supple whips of lava."
Hoslow's Petal Whip,"Metal whip formed of razor-sharp chain-link blades that have the appearance of flower petals. This work of art is handed down though the generations of the illustrious House Hoslow. High dexterity is required to wield this weapon, but it excels at inflicting devastation"
Giant's Red Braid,"Hefty whip woven from the flame-red hair of a Fire Giant. Every giant is red of hair, and Radagon was said to have despised his own red locks. Perhaps that was a curse of their kind."
Urumi,"This weapon made of extremely thin, flexible blades of metal is wielded like a whip by Nightfold warriors. Though in essence a whip with a cutting edge, it can also be used as a spear to pierce foes."
